reviewerId,text,rate,publishedAtDate,isLocalGuide,placeId
114635164572469887291,...layanan prima...kopi nya enak...tapi camilan kurang banyak,5,2018-11-18T04:57:16.454Z,TRUE,ChIJEXJtGNeX1i0R6EftAgaS3Yk
116031464725321898868,"""Saya suka kopi, tapi bukan berarti harus dipaksa beli kopi segede ember.""

Jujur, saya termasuk penikmat kopi harian. Salah satu tempat yang dulu cukup sering saya datangi adalah Tomoro Coffee. Tapi belakangan ini, rasanya makin enggan ke sana. Bukan karena rasa kopinya—kopinya masih oke—tapi karena cara mereka menjual produknya yang bikin ilfeel.

Setiap kali mau beli, selalu saja diarahkan ke bundling package. Dan yang paling bikin jengkel:
""Size reguler-nya udah nggak ada, Kak. Adanya Medium.""
Lho? Tapi di menu masih jelas-jelas tertulis Regular Size. Jadi ini maksudnya apa? Gimmick doang? Rasanya seperti dijebak strategi marketing yang nggak transparan.

Buat saya, kopi itu bukan soal makin banyak makin bagus. Saya lebih suka yang pas, cukup, dan sesuai kebutuhan. Bukan dipaksa beli ukuran besar, harga lebih mahal, plus makanan yang sebenarnya nggak saya butuhkan. Ini jatuhnya bukan upselling, tapi maksa.

Sebagai pecinta kopi, saya paham harga dan kualitas itu seringkali berbanding lurus. Tapi konsumen juga berhak atas pilihan yang jujur dan fair. Kalau memang regular size sudah tidak tersedia, ya sebaiknya dihapus saja dari menu. Jangan kasih harapan palsu.

Untuk saat ini, saya pikir cukup dulu dengan Tomoro. Masih banyak kedai kopi lain yang lebih menghargai kenyamanan konsumennya. Karena bagi saya, ngopi itu bukan cuma soal rasa, tapi juga soal pengalaman yang jujur dan menyenangkan.",1,2025-07-24T02:50:42.298Z,TRUE,ChIJXb90c3iV1i0RjmZsp_jCRyg
113355163424483564542,"🏿🏿🏿🏿🏿🏿🏿🏿
🏿🏿🏽🏽🏽🏽🏿🏿
🏽🏽🏽🏽🏽🏽🏽🏽
🏽⬜⬛🏽🏽⬛⬜🏽
🏽🏽🏽🏿🏿🏽🏽🏽
🏽🏽🏿🏽🏽🏿🏽🏽
🏽🏽🏿🏿🏿🏿🏽🏽‍‍",5,2022-05-16T10:09:13.090Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
106585434549662896446,👍,5,2021-06-19T14:15:57.384Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
117919613891519811190,👍👍,4,2018-04-25T07:05:38.404Z,TRUE,ChIJk0rV8c-V1i0Rptk09IwbuBs
105953685912539699829,a good place to chill,5,2023-03-31T02:43:57.563Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
103092286413773216033,"aaaa tempatnya nyaman sekaliiii, pelayanan baik dan ramah. makanan minuman semua enakkk. kurangnya cuma 1, ngga ada kucinggg huftttt wkwk good job Podo Joyo🥰",5,2024-01-02T15:09:50.430Z,FALSE,ChIJHRhX4pWX1i0RslvmUUB3fQs
107180898492836170883,Abit gelluh,3,2021-07-08T01:42:59.032Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
111537826076427223936,"Absolutely hilarious selection of cakes in this ""bakery"" we came here for breakfast and they had a choice of 2. So we ordered the red velvet crumble and it was actually quite tasty..we ordered 2 coffees also and they decided to only make one of them and disregard the other....
We were the only customers,the staff are just watching videos so not sure how they forget a drink.
Nice coffee and cake for the price though",2,2024-09-04T09:41:42.483Z,TRUE,ChIJOY3WLQOV1i0RwuwHYc0rUg4
114544405996412372842,"Ada indoor ada juga tempat untuk outdoor. Menunya mulai dari 5000an (Hot tea). Cemilan mulai 15.000an, ada juga nasi bakar 17.000an. Free WiFi, ada tempat untuk charger laptop/hp. Tempat bersih, dan rapih. Indoor nya dingin, bebas asap rokok, nyaman buat kumpul sama temen atau pun keluarga. Untuk rokok disediakan tempat outdoor + asbak. Bisa parkir motor dan mobil. Pilihan makanan dan minumannya cukup bervariasi..",5,2022-02-09T23:00:10.153Z,TRUE,ChIJOY3WLQOV1i0RwuwHYc0rUg4
101050483302451789780,Ada kebun binatang nya,5,2019-08-21T17:46:22.794Z,FALSE,ChIJk0rV8c-V1i0Rptk09IwbuBs
104884286135988222383,"ada menu recomended yaitu bakmi kuah bening dan kuah rempah.
Kuah rempah itu lebih ke rasanya enak, kuah bening itu kaldu rasanya hambar, jadi di padukan sama mie dan toping, tergantung seleraa sangat cocok sekali
Buat Kumpul-Kumpul🤗🤗🤗🤗🤗",5,2024-09-25T10:14:11.437Z,FALSE,ChIJHRhX4pWX1i0RslvmUUB3fQs
118023108281652005679,Ada ular gede gede banget!,3,2017-11-14T05:01:11.025Z,TRUE,ChIJk0rV8c-V1i0Rptk09IwbuBs
115849618944562013788,ada uno nya,4,2018-02-17T14:56:09.194Z,TRUE,ChIJk0rV8c-V1i0Rptk09IwbuBs
116280837782385465355,"Aduh habis, enak semua sih.
#ShortHeritage",5,2023-07-12T13:16:29.092Z,TRUE,ChIJHRhX4pWX1i0RslvmUUB3fQs
105502529746214136193,"aestetik bgt tempatnya,menu sesuai kantong mahasiswa",4,2021-12-24T07:15:39.408Z,TRUE,ChIJfwPNV2eV1i0Rpz-C5nnFWdk
111373311611135496685,Aesthetic. Instagramable. Cocok buat qtime dan ghibah berkelompok. Menerapkan protokol kesehatan. Parkiran luas.,5,2020-10-01T14:37:08.110Z,TRUE,ChIJEXJtGNeX1i0R6EftAgaS3Yk
103311855888031480745,"Agak kecewa sih sama pelayannya,masak beli ropang salah varian sma yang lain udah dimakan pula malah dikembalikan ke saya",1,2021-10-25T12:02:26.595Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
101696074035381075266,Akhirnya ada bakmie enaks di Jember…. Must try se👍🏿👍🏿👍🏿,5,2023-07-12T13:13:05.398Z,TRUE,ChIJHRhX4pWX1i0RslvmUUB3fQs
